"Semi-major Axis (m)","Eccentricity","Inclination (deg)","RAAN (deg)","Arg of Perigee (deg)","Mean Anomaly (deg)"
6978137.000,0.000000,45.003,359.884,0.000,207.501
6978137.000,0.000000,45.003,359.884,0.000,244.734
6978137.000,0.000000,45.003,359.884,0.000,281.967
6978137.000,0.000000,45.003,359.884,0.000,319.201
6978137.000,0.000000,45.003,359.884,0.000,356.434
6978137.000,0.000000,45.003,359.884,0.000,33.668
6978137.000,0.000000,45.003,359.884,0.000,70.901
6978137.000,0.000000,45.003,359.884,0.000,108.135
6978137.000,0.000000,45.003,359.884,0.000,145.368
6978137.000,0.000000,45.003,359.884,0.000,182.602
6978137.000,0.000000,45.003,359.884,0.000,219.835
6978137.000,0.000000,45.003,359.884,0.000,257.069
6978137.000,0.000000,45.003,359.884,0.000,294.302
6978137.000,0.000000,45.003,359.884,0.000,331.536
6978137.000,0.000000,45.003,359.884,0.000,8.769
6978137.000,0.000000,45.003,359.884,0.000,46.003
6978137.000,0.000000,45.003,359.884,0.000,83.236
6978137.000,0.000000,45.003,359.884,0.000,120.470
6978137.000,0.000000,45.003,359.884,0.000,157.703
6978137.000,0.000000,45.003,359.884,0.000,194.936
6978137.000,0.000000,45.003,359.884,0.000,232.170
6978137.000,0.000000,45.003,359.884,0.000,269.403
6978137.000,0.000000,45.003,359.884,0.000,306.637
6978137.000,0.000000,45.003,359.884,0.000,343.870
6978137.000,0.000000,45.003,359.884,0.000,21.104
6978137.000,0.000000,45.003,359.884,0.000,58.337
6978137.000,0.000000,45.003,359.884,0.000,95.571
6978137.000,0.000000,45.003,359.884,0.000,132.804
6978137.000,0.000000,45.003,359.884,0.000,170.038
6978137.000,0.000000,45.003,359.884,0.000,207.271
6978137.000,0.000000,45.003,359.884,0.000,244.505
6978137.000,0.000000,45.003,359.884,0.000,281.738
6978137.000,0.000000,45.003,359.884,0.000,318.972
6978137.000,0.000000,45.003,359.884,0.000,356.205
6978137.000,0.000000,45.003,359.884,0.000,33.439
6978137.000,0.000000,45.003,359.884,0.000,70.672
6978137.000,0.000000,45.003,359.884,0.000,107.905
6978137.000,0.000000,45.003,359.884,0.000,145.139
6978137.000,0.000000,45.003,359.884,0.000,182.372
6978137.000,0.000000,45.003,359.884,0.000,219.606
6978137.000,0.000000,45.003,359.884,0.000,256.839
6978137.000,0.000000,45.003,359.884,0.000,294.073
6978137.000,0.000000,45.003,359.884,0.000,331.306
6978137.000,0.000000,45.003,359.884,0.000,8.540
6978137.000,0.000000,45.003,359.884,0.000,45.773
6978137.000,0.000000,45.003,359.884,0.000,83.007
6978137.000,0.000000,45.003,359.884,0.000,120.240
6978137.000,0.000000,45.003,359.884,0.000,157.474
6978137.000,0.000000,45.003,359.884,0.000,194.707
6978137.000,0.000000,45.003,359.884,0.000,231.941
6978137.000,0.000000,45.003,359.884,0.000,269.174
6978137.000,0.000000,45.003,359.884,0.000,306.408
6978137.000,0.000000,45.003,359.884,0.000,343.641
6978137.000,0.000000,45.003,359.884,0.000,20.875
6978137.000,0.000000,45.003,359.884,0.000,58.108
6978137.000,0.000000,45.003,359.884,0.000,95.341
6978137.000,0.000000,45.003,359.884,0.000,132.575
6978137.000,0.000000,45.003,359.884,0.000,169.808
6978137.000,0.000000,45.003,359.884,0.000,207.042
6978137.000,0.000000,45.003,359.884,0.000,244.275
6978137.000,0.000000,45.003,359.884,0.000,281.509
6978137.000,0.000000,45.003,359.884,0.000,318.742
