"Point Number","Latitude (deg)","Longitude (deg)","Altitude (km)","Area (km^2)","Latitude Span (deg)","Longitude Span (deg)"
283,-33.172317,116.326531,0.000000,51491.782886,2.031233,2.448980
284,-33.172317,118.775510,0.000000,51491.782886,2.031233,2.448980
285,-33.172317,121.224490,0.000000,51491.782886,2.031233,2.448980
286,-33.172317,123.673469,0.000000,51491.782886,2.031233,2.448980
287,-33.172317,135.918367,0.000000,51491.782886,2.031233,2.448980
288,-33.172317,138.367347,0.000000,51491.782886,2.031233,2.448980
289,-37.234783,140.816327,0.000000,48955.943940,2.031233,2.448980
290,-37.234783,143.265306,0.000000,48955.943940,2.031233,2.448980
291,-37.234783,145.714286,0.000000,48955.943940,2.031233,2.448980
292,-35.203550,140.816327,0.000000,50255.304602,2.031233,2.448980
293,-35.203550,143.265306,0.000000,50255.304602,2.031233,2.448980
294,-35.203550,145.714286,0.000000,50255.304602,2.031233,2.448980
295,-33.172317,140.816327,0.000000,51491.782886,2.031233,2.448980
296,-33.172317,143.265306,0.000000,51491.782886,2.031233,2.448980
297,-33.172317,145.714286,0.000000,51491.782886,2.031233,2.448980
298,-37.234783,148.163265,0.000000,48955.943940,2.031233,2.448980
299,-35.203550,148.163265,0.000000,50255.304602,2.031233,2.448980
300,-33.172317,148.163265,0.000000,51491.782886,2.031233,2.448980
301,-33.172317,150.612245,0.000000,51491.782886,2.031233,2.448980
302,-37.234783,175.102041,0.000000,48955.943940,2.031233,2.448980
303,-37.234783,287.755102,0.000000,48955.943940,2.031233,2.448980
304,-37.234783,290.204082,0.000000,48955.943940,2.031233,2.448980
305,-37.234783,292.653061,0.000000,48955.943940,2.031233,2.448980
306,-35.203550,287.755102,0.000000,50255.304602,2.031233,2.448980
307,-35.203550,290.204082,0.000000,50255.304602,2.031233,2.448980
308,-35.203550,292.653061,0.000000,50255.304602,2.031233,2.448980
309,-33.172317,290.204082,0.000000,51491.782886,2.031233,2.448980
310,-33.172317,292.653061,0.000000,51491.782886,2.031233,2.448980
311,-37.234783,295.102041,0.000000,48955.943940,2.031233,2.448980
312,-37.234783,297.551020,0.000000,48955.943940,2.031233,2.448980
313,-37.234783,300.000000,0.000000,48955.943940,2.031233,2.448980
314,-35.203550,295.102041,0.000000,50255.304602,2.031233,2.448980
315,-35.203550,297.551020,0.000000,50255.304602,2.031233,2.448980
316,-35.203550,300.000000,0.000000,50255.304602,2.031233,2.448980
317,-33.172317,295.102041,0.000000,51491.782886,2.031233,2.448980
318,-33.172317,297.551020,0.000000,51491.782886,2.031233,2.448980
319,-33.172317,300.000000,0.000000,51491.782886,2.031233,2.448980
320,-37.234783,302.448980,0.000000,48955.943940,2.031233,2.448980
321,-35.203550,302.448980,0.000000,50255.304602,2.031233,2.448980
322,-33.172317,302.448980,0.000000,51491.782886,2.031233,2.448980
323,-33.172317,304.897959,0.000000,51491.782886,2.031233,2.448980
324,-31.141083,19.615385,0.000000,49625.426373,2.031233,2.307692
325,-29.109850,17.307692,0.000000,50667.439490,2.031233,2.307692
326,-29.109850,19.615385,0.000000,50667.439490,2.031233,2.307692
327,-27.078617,17.307692,0.000000,51645.729820,2.031233,2.307692
328,-27.078617,19.615385,0.000000,51645.729820,2.031233,2.307692
329,-31.141083,21.923077,0.000000,49625.426373,2.031233,2.307692
330,-31.141083,24.230769,0.000000,49625.426373,2.031233,2.307692
331,-31.141083,26.538462,0.000000,49625.426373,2.031233,2.307692
332,-29.109850,21.923077,0.000000,50667.439490,2.031233,2.307692
333,-29.109850,24.230769,0.000000,50667.439490,2.031233,2.307692
334,-29.109850,26.538462,0.000000,50667.439490,2.031233,2.307692
335,-27.078617,21.923077,0.000000,51645.729820,2.031233,2.307692
336,-27.078617,24.230769,0.000000,51645.729820,2.031233,2.307692
337,-27.078617,26.538462,0.000000,51645.729820,2.031233,2.307692
338,-31.141083,28.846154,0.000000,49625.426373,2.031233,2.307692
339,-29.109850,28.846154,0.000000,50667.439490,2.031233,2.307692
340,-29.109850,31.153846,0.000000,50667.439490,2.031233,2.307692
341,-27.078617,28.846154,0.000000,51645.729820,2.031233,2.307692
342,-27.078617,31.153846,0.000000,51645.729820,2.031233,2.307692
343,-31.141083,116.538462,0.000000,49625.426373,2.031233,2.307692
344,-29.109850,116.538462,0.000000,50667.439490,2.031233,2.307692
345,-27.078617,114.230769,0.000000,51645.729820,2.031233,2.307692
346,-27.078617,116.538462,0.000000,51645.729820,2.031233,2.307692
347,-31.141083,118.846154,0.000000,49625.426373,2.031233,2.307692
348,-31.141083,121.153846,0.000000,49625.426373,2.031233,2.307692
349,-31.141083,123.461538,0.000000,49625.426373,2.031233,2.307692
350,-29.109850,118.846154,0.000000,50667.439490,2.031233,2.307692
351,-29.109850,121.153846,0.000000,50667.439490,2.031233,2.307692
352,-29.109850,123.461538,0.000000,50667.439490,2.031233,2.307692
353,-27.078617,118.846154,0.000000,51645.729820,2.031233,2.307692
354,-27.078617,121.153846,0.000000,51645.729820,2.031233,2.307692
355,-27.078617,123.461538,0.000000,51645.729820,2.031233,2.307692
356,-31.141083,125.769231,0.000000,49625.426373,2.031233,2.307692
357,-31.141083,128.076923,0.000000,49625.426373,2.031233,2.307692
358,-31.141083,130.384615,0.000000,49625.426373,2.031233,2.307692
359,-29.109850,125.769231,0.000000,50667.439490,2.031233,2.307692
360,-29.109850,128.076923,0.000000,50667.439490,2.031233,2.307692
361,-29.109850,130.384615,0.000000,50667.439490,2.031233,2.307692
362,-27.078617,125.769231,0.000000,51645.729820,2.031233,2.307692
363,-27.078617,128.076923,0.000000,51645.729820,2.031233,2.307692
364,-27.078617,130.384615,0.000000,51645.729820,2.031233,2.307692
365,-31.141083,132.692308,0.000000,49625.426373,2.031233,2.307692
366,-31.141083,135.000000,0.000000,49625.426373,2.031233,2.307692
367,-31.141083,137.307692,0.000000,49625.426373,2.031233,2.307692
